seq_id,site_id,geo_tract,add_num,add_str,zipcode,muni,nhood,prop_name,year_blt,company,park_incl,cost_space,park_add,nrs_tserv,hou_type,rnt_studio,rnt_unit1,rnt_unit2,rnt_unit3,rnt_unit_t,cnd_studio,cnd_unit1,cnd_unit2,cnd_unit3,cnd_unit_t,vac_studio,vac_unit1,vac_unit2,vac_unit3,vac_unit_t,sub_studio,sub_unit1,sub_unit2,sub_unit3,sub_unit_t,cost_apt_s,cost_apt_1,cost_apt_2,cost_apt_3,cost_cnd_s,cost_cnd_1,cost_cnd_2,cost_cnd_3,ov_lot_spc,ov_gar_spc,ov_lot_veh,ov_gar_veh,ov_spc,ov_veh,ov_empt,apt_unit_t,apt_occu_t,util_rate,park_dem,park_sup,supply_tot,x_coord,y_coord,ct_pop_tot,bg_pop_den,bg_emp_den,bg_act_den,walk_score,jobs_30min,mbta_rapid,mbta_crail,bldg_agec,bldg_szec,rental,bldg_affp,bldg_bed1,bldg_bed2,bldg_bed3,avg_bedrms,bldg_bed1p,bldg_bed2p,bldg_bed3p,rent_punit,rent_proom,sfc_vs_gar,park_bike,park_bund,park_cost,cost_v_unt,cost_v_brm,phase
1349,150,25025120500,155,Lamartine Street,2130,Boston,Jamaica Plain,Nate Smith Housing Corporation,0,Peabody Properties,No,$0,There is no option for additional parking,f,Apartments,0,44,1,0,45,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,0,1000,1000,0,0,0,0,0,10,0,3,0,10,3,7,45,45,0.3,0.07,0.22,0.22,42.3181,-71.1045,2685,32.98,3.55,36.54,90,235358,t,f,0,2,1,0.98,44,1,0,1.02,0.98,0.02,0,1000,978.26,0,f,0,0,0,0,phase 1 & 2
1350,151,25025090100,157,Washington Street,2121,Boston,Dorchester,157 Washington Street AB&W; LLC,2011,Winn Residential,No,0,There is no option for additional parking,f,Apartments,0,5,16,3,24,0,0,0,0,0,0,0,1,0,1,0,3,8,3,14,0,1250,1250,1750,0,0,0,0,22,0,11,0,22,11,11,24,23,0.5,0.48,0.96,0.92,42.304,-71.0795,4949,43.17,2.81,45.98,89,61392,f,t,3,1,1,0.58,5,15,3,1.91,0.22,0.65,0.13,1312.5,684.78,0,f,0,0,0,0,phase 1 & 2
1351,152,25017342500,16,Summer Street,2149,Everett,0,16 Summer Street,1930,0,No,$75,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,4,44,8,2,58,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,950,1100,1400,1800,0,0,0,0,15,0,13,0,15,13,2,58,58,0.87,0.22,0.26,0.26,42.4089,-71.0527,8050,47.45,3.63,51.08,92,38543,f,f,1,2,1,0.03,49,7,2,1.19,0.84,0.12,0.03,1155.17,957.14,0,f,0,75,0.06,0.08,phase 1 & 2
1352,153,25017373900,160,Boylston Street,2467,Newton,0,Avalon at Chestnut Hill,2010,Avalon Bay Communities,No,$125,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,5,36,113,50,204,0,0,0,0,0,0,0,2,5,7,1,8,25,9,43,2250,3000,3000,3000,0,0,0,0,16,388,11,237,404,248,156,204,197,0.61,1.26,2.05,1.98,42.3199,-71.1741,6181,7.66,4.78,12.44,51,5041,f,f,3,3,1,0.21,40,109,48,2.04,0.2,0.55,0.24,2981.62,1458.63,24.25,f,0,125,0.04,0.09,phase 1 & 2
1353,154,25025160300,160,Commandants Way,2150,Chelsea,0,160 Commandants Way,1987,0,Yes,0,Residents may rent spaces from one another,f,Condominiums,0,0,0,0,0,0,10,52,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,71,0,92,71,21,62,62,0.77,1.15,1.48,1.48,42.3895,-71.0513,2476,19.33,3.6,22.93,28,19710,f,f,2,2,0,0,10,52,0,1.84,0.16,0.84,0,0,0,0,f,1,0,0,0,phase 1 & 2
1354,155,25017341300,160,Pleasant Street,2148,Malden,0,160 Pleasant Street Apartments,2007,Combined Properties,No,$75-100,Parking is not included with rent/purchase price-- residents pay for each space requested,f,Apartments,10,98,98,0,206,0,0,0,0,0,0,7,8,0,15,0,0,0,0,0,1750,1750,2750,0,0,0,0,0,0,133,0,69,133,69,64,206,191,0.52,0.36,0.7,0.65,42.4268,-71.0715,5363,4.58,30.18,34.75,93,120235,t,t,3,3,1,0,100,91,0,1.48,0.52,0.48,0,2225.73,1508.22,133,t,0,75,0.03,0.05,phase 1 & 2
1355,156,25017341300,17,Washington Street,2148,Malden,0,17 Washington Street,1925,0,No,$75,0,f,Apartments,36,36,5,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1450,1800,0,0,0,0,0,21,0,17,0,21,17,4,77,77,0.81,0.22,0.27,0.27,42.4278,-71.0705,5363,45.57,49.67,95.24,93,73308,t,t,1,2,1,0,72,5,0,1.06,0.94,0.06,0,1355.84,1273.17,0,t,0,75,0.06,0.06,phase 1 & 2
1356,157,25017374100,173-193,Oak Street,2464,Newton,0,Village Falls Condominium Trust,1988,Thayer and Associates; Inc.,Yes,0,If a unit request an additional parking space; they must pay for the space separate from the rental price,f,Condominiums,0,0,0,0,0,0,13,109,0,122,0,0,0,0,0,0,0,14,0,14,0,1750,2750,0,0,0,0,0,0,243,0,127,243,127,116,122,122,0.52,1.04,1.99,1.99,42.3075,-71.2179,4934,7.23,12.94,20.17,80,25559,f,f,2,3,0,0.11,13,109,0,1.89,0.11,0.89,0,0,0,243,t,0,0,0,0,phase 1 & 2
1357,158,25017341101,175,Summer Street,2148,Malden,0,175 Summer Street,1968,0,Yes,$0,0,f,Apartments,0,1,15,0,16,0,0,0,0,0,0,0,0,0,0,0,1,10,0,11,0,0,0,0,0,0,0,0,16,0,9,0,16,9,7,16,16,0.56,0.56,1,1,42.4328,-71.0749,4031,26.84,0.25,27.09,71,46438,t,t,2,1,1,0.69,1,15,0,1.94,0.06,0.94,0,0,0,0,f,1,0,0,0,phase 1 & 2
1358,159,25017336402,175; 189; 191,Wyoming West Avenue,2176,Melrose,0,175; 189; 191 Wyoming West Avenue,1957,0,Yes,$0,There is no option for additional parking,f,Apartments,0,36,12,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,53,0,64,53,11,64,64,0.83,0.83,1,1,42.4545,-71.0761,5079,15.75,0.39,16.14,64,16706,f,t,2,2,1,0,48,16,0,1.25,0.75,0.25,0,0,0,0,f,1,0,0,0,phase 1 & 2
